recording	collection	word	speaker_lang	context	prompt	token_times_gold	pre_phones_gold	pre_times_gold	v_phones_gold	v_times_gold	post_phones_gold	post_times_gold	token_times_mfa	pre_phones_mfa	pre_times_mfa	v_phones_mfa	v_times_mfa	post_phones_mfa	post_times_mfa
019440-1396646	samromur_unverified_22.07	lalla	L1	Jói fór að hlæja þegar hann sá [_TOKEN_] standa þarna með spýtu í hendinni.	Jói fór að hlæja þegar hann sá Lalla standa þarna með spýtu í hendinni.	2.04-2.42	l	2.04-2.14	a	2.14-2.213545201532073	l	2.213545201532073-2.36	2.04-2.42	l	2.04-2.14	a	2.14-2.2	l	2.2-2.36
019197-1349174	samromur_unverified_22.07	lalla	L1	Hún hafði eldað mat og bauð [_TOKEN_] að borða með Jóa.	Hún hafði eldað mat og bauð Lalla að borða með Jóa.	1.54-1.87	l	1.54-1.62	a	1.62-1.7192896934063575	l	1.7192896934063575-1.84	1.54-1.87	l	1.54-1.62	a	1.62-1.71	l	1.71-1.84
018459-1216480	samromur_unverified_22.07	lalla	L1	[_TOKEN_] og Jóa leið hálfilla.	Lalla og Jóa leið hálfilla.	1.44-1.9	l	1.44-1.5728442242983962	a	1.5728442242983962-1.6939840617840776	l	1.6939840617840776-1.82	1.44-1.9	l	1.44-1.56	a	1.56-1.66	l	1.66-1.82
019197-1352943	samromur_unverified_22.07	lalla	L1	Hann er að verða fullorðinn maður, sagði pabbi og klappaði á kollinn á [_TOKEN_]	Hann er að verða fullorðinn maður, sagði pabbi og klappaði á kollinn á Lalla.	3.56-3.95	l	3.56-3.64	a	3.64-3.71	l	3.71-3.8283134865274238	3.56-3.95	l	3.56-3.64	a	3.64-3.71	l	3.71-3.77
012366-2575584	samromur_unverified_22.07	lalla	L1	Hún faðmaði [_TOKEN_] líka og kallaði hann líka elskulega drenginn sinn.	Hún faðmaði Lalla líka og kallaði hann líka elskulega drenginn sinn.	1.04-1.28	l	1.04-1.07	a	1.07-1.1445172895189004	l	1.1445172895189004-1.2162043599656358	1.04-1.28	l	1.04-1.07	a	1.07-1.1	l	1.1-1.21
022365-1607214	samromur_unverified_22.07	lalla	L1	Nú var eins og öll feimni færi af þeim [_TOKEN_] og Jóa.	Nú var eins og öll feimni færi af þeim Lalla og Jóa.	3.3-3.69	l	3.3-3.38	a	3.38-3.49810184439433	l	3.49810184439433-3.62	3.3-3.69	l	3.3-3.38	a	3.38-3.46	l	3.46-3.62
018026-1114621	samromur_unverified_22.07	lalla	L1	Hann er að verða fullorðinn maður, sagði pabbi og klappaði á kollinn á [_TOKEN_]	Hann er að verða fullorðinn maður, sagði pabbi og klappaði á kollinn á Lalla.	3.34607309117268-3.63	l	3.34755226231386-3.4180324178763177	a	3.4180324178763177-3.5108694331189993	l	3.5108694331189993-3.6	3.31-3.63	l	3.31-3.43	a	3.43-3.49	l	3.49-3.6
018026-1216153	samromur_unverified_22.07	lalla	L1	Nú var Jói búinn að vinna og hafði nógan tíma fyrir [_TOKEN_]	Nú var Jói búinn að vinna og hafði nógan tíma fyrir Lalla.	2.58-2.816	l	2.58-2.61	a	2.61-2.6923689594072164	l	2.6923689594072164-2.79	2.58-2.816	l	2.58-2.61	a	2.61-2.66	l	2.66-2.79
018228-1159357	samromur_unverified_22.07	lalla	L1	[_TOKEN_] til að njósna um þau en gat ekki sannað neitt.	Lalla til að njósna um þau en gat ekki sannað neitt.	1.02-1.57	l	1.02-1.13	a	1.13-1.2750721962700458	l	1.2750721962700458-1.43	1.02-1.57	l	1.02-1.13	a	1.13-1.24	l	1.24-1.43
011550-0298616	samromur_unverified_22.07	lalla	L1	Hann var feiminn við mömmu hans [_TOKEN_]	Hann var feiminn við mömmu hans Lalla.	2.3-2.7	l	2.3-2.35	a	2.35-2.4240003937571593	l	2.4240003937571593-2.57	2.3-2.7	l	2.3-2.35	a	2.35-2.4	l	2.4-2.57
017465-1164320	samromur_unverified_22.07	lalla	L1	[_TOKEN_] var hrollkalt.	Lalla var hrollkalt.	1.78-2.33	l	1.78-1.9125891099298398	a	1.9125891099298398-2.02	l	2.02-2.2	1.78-2.33	l	1.78-1.96	a	1.96-2.02	l	2.02-2.2
019281-1378906	samromur_unverified_22.07	lalla	L1	Jói var vanur að segja að herbergið hans [_TOKEN_] væri eins og leikfangaverslun.	Jói var vanur að segja að herbergið hans Lalla væri eins og leikfangaverslun.	1.77-2.14	l	1.77-1.82	a	1.82-1.92	l	1.92-2.05	1.77-2.14	l	1.77-1.82	a	1.82-1.92	l	1.92-2.05
002505-0018796	samromur_21.05	lalla	L1	Lalli Johns er kvikmynd um smáglæpamanninn [_TOKEN_] Johns“.	Lalli Johns er kvikmynd um smáglæpamanninn „Lalla Johns“.	3.9-4.25	l	3.9-4.0	a	4.0-4.07	l	4.07-4.18	3.9-4.25	l	3.9-4.0	a	4.0-4.07	l	4.07-4.18
007468-0072144	samromur_21.05	lalla	L1	Og vissulega hefur íslenska lögreglan meiri reynslu af [_TOKEN_] Johns en Enron.	Og vissulega hefur íslenska lögreglan meiri reynslu af Lalla Johns en Enron.	3.13-3.6	l	3.13-3.2549331284006304	a	3.2549331284006304-3.33	l	3.33-3.52	3.13-3.6	l	3.13-3.27	a	3.27-3.33	l	3.33-3.52
019197-1354205	samromur_unverified_22.07	lalla	L1	Hún braust um í fanginu á [_TOKEN_] svo að hann sleppti henni.	Hún braust um í fanginu á Lalla, svo að hann sleppti henni.	1.5-1.92	l	1.5-1.59	a	1.59-1.7059172304553263	l	1.7059172304553263-1.82	1.5-1.92	l	1.5-1.59	a	1.59-1.67	l	1.67-1.82
014558-1112921	samromur_unverified_22.07	lalla	L1	Jói fór að hlæja þegar hann sá [_TOKEN_] standa þarna með spýtu í hendinni.	Jói fór að hlæja þegar hann sá Lalla standa þarna með spýtu í hendinni.	2.32-2.7	l	2.32-2.4102637725515463	a	2.4102637725515463-2.496231699241122	l	2.496231699241122-2.62	2.32-2.7	l	2.32-2.42	a	2.42-2.48	l	2.48-2.62
018216-1159932	samromur_unverified_22.07	lalla	L1	[_TOKEN_] til að njósna um þau en gat ekki sannað neitt.	Lalla til að njósna um þau en gat ekki sannað neitt.	2.08-2.7	l	2.08-2.22	a	2.22-2.31	l	2.31-2.53	2.08-2.7	l	2.08-2.22	a	2.22-2.31	l	2.31-2.53
012470-2062117	samromur_unverified_22.07	lalla	L1	Nú var Jói búinn að vinna og hafði nógan tíma fyrir [_TOKEN_]	Nú var Jói búinn að vinna og hafði nógan tíma fyrir Lalla.	4.02-4.47	l	4.02-4.16	a	4.16-4.250965085373711	l	4.250965085373711-4.392536444909793	4.02-4.47	l	4.02-4.16	a	4.16-4.24	l	4.24-4.38
014171-1369535	samromur_unverified_22.07	lalla	L1	Hún faðmaði [_TOKEN_] líka og kallaði hann líka elskulega drenginn sinn.	Hún faðmaði Lalla líka og kallaði hann líka elskulega drenginn sinn.	1.31-1.67	l	1.31-1.39	a	1.39-1.48	l	1.48-1.59	1.31-1.67	l	1.31-1.39	a	1.39-1.48	l	1.48-1.59
021618-1776858	samromur_unverified_22.07	lalla	L1	Jói var vanur að segja að herbergið hans [_TOKEN_] væri eins og leikfangaverslun.	Jói var vanur að segja að herbergið hans Lalla væri eins og leikfangaverslun.	2.98-3.36	l	2.98-3.03	a	3.03-3.119292355741695	l	3.119292355741695-3.247572621348797	2.98-3.36	l	2.98-3.03	a	3.03-3.1	l	3.1-3.24
018043-1116505	samromur_unverified_22.07	lalla	L1	Það voru tveir glaðir strákar sem stukku upp tröppurnar heima hjá [_TOKEN_]	Það voru tveir glaðir strákar sem stukku upp tröppurnar heima hjá Lalla.	4.17-4.62	l	4.17-4.27	a	4.27-4.355630436533505	l	4.355630436533505-4.51	4.17-4.62	l	4.17-4.27	a	4.27-4.31	l	4.31-4.51
022397-1588052	samromur_unverified_22.07	lalla	L1	Hann náði í vettlinga og rétti [_TOKEN_] eina, en stakk hinum í vasa sinn.	Hann náði í vettlinga og rétti Lalla eina, en stakk hinum í vasa sinn.	1.74-2.12	l	1.74-1.83	a	1.83-1.9135452015320733	l	1.9135452015320733-2.03	1.74-2.12	l	1.74-1.83	a	1.83-1.87	l	1.87-2.03
018319-1203435	samromur_unverified_22.07	lalla	L1	Hún gat nú hlaupið um allt og elti [_TOKEN_] hvert sem hann fór.	Hún gat nú hlaupið um allt og elti Lalla hvert sem hann fór.	1.68-2.03	l	1.68-1.75	a	1.75-1.8472674819229666	l	1.8472674819229666-1.94	1.68-2.03	l	1.68-1.75	a	1.75-1.83	l	1.83-1.94
017649-1186354	samromur_unverified_22.07	lalla	L1	Jói tók kettlinginn undan peysunni og benti [_TOKEN_] að koma með sinn kettling.	Jói tók kettlinginn undan peysunni og benti Lalla að koma með sinn kettling.	2.56-3.05	l	2.56-2.69	a	2.69-2.7742555081257163	l	2.7742555081257163-2.93	2.56-3.05	l	2.56-2.69	a	2.69-2.76	l	2.76-2.93
017459-1296021	samromur_unverified_22.07	lalla	L1	Hún skoðaði bókina í krók og kring og kyssti svo [_TOKEN_] og bókina til skiptis.	Hún skoðaði bókina í krók og kring og kyssti svo Lalla og bókina til skiptis.	4.28-4.8	l	4.28-4.4	a	4.4-4.51013038731386	l	4.51013038731386-4.66	4.28-4.8	l	4.28-4.4	a	4.4-4.49	l	4.49-4.66
022937-1592430	samromur_unverified_22.07	lalla	L1	Jói tók kettlinginn undan peysunni og benti [_TOKEN_] að koma með sinn kettling.	Jói tók kettlinginn undan peysunni og benti Lalla að koma með sinn kettling.	3.93-4.35	l	3.93-4.03	a	4.03-4.161156169458763	l	4.161156169458763-4.29	3.93-4.35	l	3.93-4.03	a	4.03-4.14	l	4.14-4.29
013675-0594091	samromur_unverified_22.07	svala	L1	Mynd af tildurmosa: Ingibjörg [_TOKEN_] Jónsdóttir.	Mynd af tildurmosa: Ingibjörg Svala Jónsdóttir.	2.74-3.1730957150961308	s v	2.74-2.860390452176162,2.860390452176162-2.88	aː	2.88-3.03	l	3.03-3.12	2.74-3.18	s v	2.74-2.87,2.87-2.88	aː	2.88-3.03	l	3.03-3.12
022310-1652253	samromur_unverified_22.07	svala	L1	En var [_TOKEN_] sjálf í fótbolta?	En var Svala sjálf í fótbolta?	1.14-1.59	s v	1.14-1.2714290236067582,1.2714290236067582-1.32	aː	1.32-1.49	l	1.49-1.55	1.14-1.59	s v	1.14-1.31,1.31-1.32	aː	1.32-1.49	l	1.49-1.55
021579-1760301	samromur_unverified_22.07	svala	L1	Samskipti kynjanna voru einföld og einkenndust af því að [_TOKEN_] náttúrulegum fýsnum.	Samskipti kynjanna voru einföld og einkenndust af því að svala náttúrulegum fýsnum.	3.393234353875054-3.87	s v	3.393234353875054-3.4767153925809158,3.4767153925809158-3.5632883216092175	aː	3.5632883216092175-3.74	l	3.74-3.82	3.37-3.87	s v	3.37-3.51,3.51-3.52	aː	3.52-3.74	l	3.74-3.82
012522-0659766	samromur_unverified_22.07	svala	L1	Mynd af tildurmosa: Ingibjörg [_TOKEN_] Jónsdóttir.	Mynd af tildurmosa: Ingibjörg Svala Jónsdóttir.	2.98-3.41	s v	2.98-3.09,3.09-3.1419815510456353	aː	3.1419815510456353-3.28	l	3.28-3.35	2.98-3.41	s v	2.98-3.09,3.09-3.1	aː	3.1-3.28	l	3.28-3.35
017834-1063423	samromur_unverified_22.07	svala	L1	Meðal þeirra tegunda sem grafa hreiður í jörðu eru lundar, ýmsar tegundir [_TOKEN_] og beltaþyrill.	Meðal þeirra tegunda sem grafa hreiður í jörðu eru lundar, ýmsar tegundir svala og beltaþyrill.	6.24-6.85	s v	6.24-6.39194630300207,6.39194630300207-6.42	aː	6.42-6.59	l	6.59-6.69	6.24-6.85	s v	6.24-6.41,6.41-6.42	aː	6.42-6.59	l	6.59-6.69
021755-1618794	samromur_unverified_22.07	svala	L1	Hver er orsök þess að [_TOKEN_] og útihurðir eru skakkar?	Hver er orsök þess að svala og útihurðir eru skakkar?	1.85-2.29	s v	1.85-1.9583317450418098,1.9583317450418098-2.003198388825223	aː	2.003198388825223-2.1482672037249255	l	2.1482672037249255-2.24	1.85-2.29	s v	1.85-1.97,1.97-1.98	aː	1.98-2.14	l	2.14-2.24
009289-0169080	samromur_21.05	svala	L1	[_TOKEN_]	Svala	0.33624287120131696-0.97	s v	0.33624287120131696-0.5024625136768209,0.5024625136768209-0.59	aː	0.59-0.73	l	0.73-0.84	0.32-0.97	s v	0.32-0.58,0.58-0.59	aː	0.59-0.73	l	0.73-0.84
021635-1768026	samromur_unverified_22.07	svala	L1	Hver er orsök þess að [_TOKEN_] og útihurðir eru skakkar?	Hver er orsök þess að svala og útihurðir eru skakkar?	1.62-2.17	s v	1.62-1.7657600682709418,1.7657600682709418-1.83	aː	1.83-2.01	l	2.01-2.1	1.62-2.17	s v	1.62-1.82,1.82-1.83	aː	1.83-2.01	l	2.01-2.1
017139-1297938	samromur_unverified_22.07	svala	L1	Hann horfði beint framan í Ármannsfell þegar hann skreið út þennan [_TOKEN_] maímorgun.	Hann horfði beint framan í Ármannsfell þegar hann skreið út þennan svala maímorgun.	7.21-7.8	s v	7.21-7.369686472253636,7.369686472253636-7.41	aː	7.41-7.63	l	7.63-7.73	7.21-7.8	s v	7.21-7.4,7.4-7.41	aː	7.41-7.63	l	7.63-7.73
022265-1512541	samromur_unverified_22.07	svala	L1	Hver er orsök þess að [_TOKEN_] og útihurðir eru skakkar?	Hver er orsök þess að svala og útihurðir eru skakkar?	2.24-2.96	s v	2.24-2.4074722677001947,2.4074722677001947-2.47708212683166	aː	2.47708212683166-2.66	l	2.66-2.78	2.24-2.96	s v	2.24-2.42,2.42-2.43	aː	2.43-2.66	l	2.66-2.78
002164-0015865	samromur_21.05	svala	L1	Það er þó landfræðilega fjölbreytt með [_TOKEN_] hásléttu og þurrt og heitt láglendi.	Það er þó landfræðilega fjölbreytt með svala hásléttu og þurrt og heitt láglendi.	2.986189694810307-3.56	s v	2.986189694810307-3.0794732007381946,3.0794732007381946-3.14	aː	3.14-3.3237871448350442	l	3.3237871448350442-3.4081865073412283	2.97-3.56	s v	2.97-3.13,3.13-3.14	aː	3.14-3.32	l	3.32-3.41
009871-0218583	samromur_21.05	svala	L1	Hún átti að [_TOKEN_] náttúrulegri þekkingarþrá mannsins og breyta hugsunarhætti hans og menningu.	Hún átti að svala náttúrulegri þekkingarþrá mannsins og breyta hugsunarhætti hans og menningu.	1.07-1.45	s v	1.07-1.1573152180249153,1.1573152180249153-1.192749353808393	aː	1.192749353808393-1.347281557086338	l	1.347281557086338-1.4	1.07-1.45	s v	1.07-1.17,1.17-1.18	aː	1.18-1.33	l	1.33-1.4
021635-1717905	samromur_unverified_22.07	svala	L1	Meðal þeirra tegunda sem grafa hreiður í jörðu eru lundar, ýmsar tegundir [_TOKEN_] og beltaþyrill.	Meðal þeirra tegunda sem grafa hreiður í jörðu eru lundar, ýmsar tegundir svala og beltaþyrill.	4.37-4.88	s v	4.37-4.5098152792129556,4.5098152792129556-4.57273962910512	aː	4.57273962910512-4.73	l	4.73-4.82	4.37-4.88	s v	4.37-4.53,4.53-4.54	aː	4.54-4.73	l	4.73-4.82
021579-1642834	samromur_unverified_22.07	svala	L1	Hann horfði beint framan í Ármannsfell þegar hann skreið út þennan [_TOKEN_] maímorgun.	Hann horfði beint framan í Ármannsfell þegar hann skreið út þennan svala maímorgun.	3.18-3.584007313011202	s v	3.18-3.287531180739636,3.287531180739636-3.32	aː	3.32-3.46	l	3.46-3.54	3.18-3.66	s v	3.18-3.31,3.31-3.32	aː	3.32-3.46	l	3.46-3.54
022117-1641833	samromur_unverified_22.07	svala	L1	Hann horfði beint framan í Ármannsfell þegar hann skreið út þennan [_TOKEN_] maímorgun.	Hann horfði beint framan í Ármannsfell þegar hann skreið út þennan svala maímorgun.	5.45-6.01	s v	5.45-5.591414174102433,5.591414174102433-5.641407616226565	aː	5.641407616226565-5.79	l	5.79-5.92	5.45-6.01	s v	5.45-5.61,5.61-5.62	aː	5.62-5.79	l	5.79-5.92
002476-0018525	samromur_21.05	svala	L1	Tónalísur voru þær Ingibjörg Þorbergs, [_TOKEN_] Nielsen og Sigríður Guðmundsdóttir.	Tónalísur voru þær Ingibjörg Þorbergs, Svala Nielsen og Sigríður Guðmundsdóttir.	4.01-4.41	s v	4.01-4.13159737039596,4.13159737039596-4.1878289506599335	aː	4.1878289506599335-4.3	l	4.3-4.36	4.01-4.41	s v	4.01-4.17,4.17-4.18	aː	4.18-4.3	l	4.3-4.36
015801-0958495	samromur_unverified_22.07	svala	L1	[_TOKEN_] hvaða leikir eru í kvöld?	Svala, hvaða leikir eru í kvöld?	0.7190812114860019-1.31	s v	0.7190812114860019-0.830882889164845,0.830882889164845-0.9033177789286024	aː	0.9033177789286024-1.06	l	1.06-1.15	0.7-1.31	s v	0.7-0.88,0.88-0.89	aː	0.89-1.06	l	1.06-1.15
022575-1669053	samromur_unverified_22.07	svala	L1	[_TOKEN_] hvaða leikir eru í kvöld?	Svala, hvaða leikir eru í kvöld?	0.59-0.94	s v	0.59-0.6813806812182298,0.6813806812182298-0.72	aː	0.72-0.8	l	0.8-0.86	0.59-0.94	s v	0.59-0.71,0.71-0.72	aː	0.72-0.8	l	0.8-0.86
021636-1515020	samromur_unverified_22.07	svala	L1	Hún átti að [_TOKEN_] náttúrulegri þekkingarþrá mannsins og breyta hugsunarhætti hans og menningu.	Hún átti að svala náttúrulegri þekkingarþrá mannsins og breyta hugsunarhætti hans og menningu.	1.1944369446621337-1.66	s v	1.1944369446621337-1.33,1.33-1.3725145753728947	aː	1.3725145753728947-1.54	l	1.54-1.58	1.18-1.66	s v	1.18-1.33,1.33-1.34	aː	1.34-1.54	l	1.54-1.58
014837-0594215	samromur_unverified_22.07	svala	L1	Mynd af tildurmosa: Ingibjörg [_TOKEN_] Jónsdóttir.	Mynd af tildurmosa: Ingibjörg Svala Jónsdóttir.	7.751722125146984-8.14	s v	7.751722125146984-7.850499267223336,7.850499267223336-7.87	aː	7.87-8.02	l	8.02-8.07	7.78-8.14	s v	7.78-7.86,7.86-7.87	aː	7.87-8.02	l	8.02-8.07
015275-0656325	samromur_unverified_22.07	svala	L1	Mynd af tildurmosa: Ingibjörg [_TOKEN_] Jónsdóttir.	Mynd af tildurmosa: Ingibjörg Svala Jónsdóttir.	1.99-2.28	s v	1.99-2.07,2.07-2.08	aː	2.08-2.17	l	2.17-2.23	1.99-2.28	s v	1.99-2.07,2.07-2.08	aː	2.08-2.17	l	2.17-2.23
021638-1514922	samromur_unverified_22.07	svala	L1	Hún átti að [_TOKEN_] náttúrulegri þekkingarþrá mannsins og breyta hugsunarhætti hans og menningu.	Hún átti að svala náttúrulegri þekkingarþrá mannsins og breyta hugsunarhætti hans og menningu.	1.0429608475793708-1.5516029602055725	s v	1.0429608475793708-1.1620260632403236,1.1620260632403236-1.2528600547607185	aː	1.2528600547607185-1.417370506069878	l	1.417370506069878-1.4910469658586427	1.03-1.28	s v	1.03-1.17,1.17-1.18	aː	1.18-1.21	l	1.21-1.25
022855-1716531	samromur_unverified_22.07	svala	L1	[_TOKEN_] kveiktu á sjónvarpinu.	Svala, kveiktu á sjónvarpinu.	0.25-0.76	s v	0.25-0.3597153270432749,0.3597153270432749-0.41544314333099014	aː	0.41544314333099014-0.56	l	0.56-0.6	0.25-0.76	s v	0.25-0.39,0.39-0.4	aː	0.4-0.56	l	0.56-0.6
023502-1668919	samromur_unverified_22.07	svala	L1	[_TOKEN_] hvaða leikir eru í kvöld?	Svala, hvaða leikir eru í kvöld?	0.35-0.85	s v	0.35-0.4636998670795939,0.4636998670795939-0.5211474781846325	aː	0.5211474781846325-0.61	l	0.61-0.69	0.35-0.85	s v	0.35-0.48,0.48-0.49	aː	0.49-0.61	l	0.61-0.69
019456-1397159	samromur_unverified_22.07	svala	L1	Samskipti kynjanna voru einföld og einkenndust af því að [_TOKEN_] náttúrulegum fýsnum.	Samskipti kynjanna voru einföld og einkenndust af því að svala náttúrulegum fýsnum.	3.44-3.81	s v	3.44-3.525865624237059,3.525865624237059-3.58	aː	3.58-3.69	l	3.69-3.76	3.44-3.81	s v	3.44-3.57,3.57-3.58	aː	3.58-3.69	l	3.69-3.76
014136-0495497	samromur_unverified_22.07	svala	L1	Mynd af tildurmosa: Ingibjörg [_TOKEN_] Jónsdóttir.	Mynd af tildurmosa: Ingibjörg Svala Jónsdóttir.	3.04-3.5	s v	3.04-3.1697130778530505,3.1697130778530505-3.205495046446921	aː	3.205495046446921-3.35	l	3.35-3.45	3.04-3.5	s v	3.04-3.19,3.19-3.2	aː	3.2-3.35	l	3.35-3.45
017669-1038263	samromur_unverified_22.07	svala	L1	hún átti að [_TOKEN_] náttúrulegri þekkingarþrá mannsins og breyta hugsunarhætti hans og menningu	hún átti að svala náttúrulegri þekkingarþrá mannsins og breyta hugsunarhætti hans og menningu	1.07-1.44	s v	1.07-1.1719668440851811,1.1719668440851811-1.2083638420685952	aː	1.2083638420685952-1.31	l	1.31-1.39	1.07-1.44	s v	1.07-1.19,1.19-1.2	aː	1.2-1.31	l	1.31-1.39
000416-0002877	samromur_21.05	svala	L1	[_TOKEN_] kveiktu á sjónvarpinu.	Svala, kveiktu á sjónvarpinu.	0.6612556120824389-1.09	s v	0.6600791277907639-0.7236092795412058,0.7236092795412058-0.791845368458347	aː	0.791845368458347-0.8859641117923348	l	0.8859641117923348-0.984788792293022	0.63-1.09	s v	0.63-0.76,0.76-0.77	aː	0.77-0.88	l	0.88-0.99
022378-1533178	samromur_unverified_22.07	svala	L1	[_TOKEN_] hvað geturðu sagt mér um veðrið?	Svala, hvað geturðu sagt mér um veðrið?	0.7-1.34	s v	0.7-0.86,0.86-0.9378283973690327	aː	0.9378283973690327-1.06	l	1.06-1.17	0.7-1.34	s v	0.7-0.86,0.86-0.87	aː	0.87-1.06	l	1.06-1.17
003795-0029273	samromur_21.05	svala	L1	Samskipti kynjanna voru einföld og einkenndust af því að [_TOKEN_] náttúrulegum fýsnum.	Samskipti kynjanna voru einföld og einkenndust af því að svala náttúrulegum fýsnum.	3.98-4.5	s v 	3.98-4.131310911624949,4.131310911624949-4.199753955359296	aː	4.199753955359296-4.35	l	4.35-4.46	3.98-4.5	s v	3.98-4.17,4.17-4.18	aː	4.18-4.35	l	4.35-4.46
010637-0282899	samromur_unverified_22.07	svala	L1	[_TOKEN_] hvað geturðu sagt mér um veðrið?	Svala, hvað geturðu sagt mér um veðrið?	0.38-1.08	s v	0.38-0.56,0.56-0.6506476147139248	aː	0.6506476147139248-0.81	l	0.81-0.91	0.38-1.08	s v	0.38-0.56,0.56-0.57	aː	0.57-0.81	l	0.81-0.91
008409-0168816	samromur_unverified_22.07	svala	L1	[_TOKEN_]	Svala	0.06-1.09	s v	0.06-0.2861135532017333,0.2861135532017333-0.42	aː	0.42-0.72	l	0.72-0.88	0.06-1.09	s v	0.06-0.25,0.25-0.42	aː	0.42-0.72	l	0.72-0.88
014401-0530200	samromur_unverified_22.07	svala	L1	Mynd af tildurmosa: Ingibjörg [_TOKEN_] Jónsdóttir.	Mynd af tildurmosa: Ingibjörg Svala Jónsdóttir.	3.1802677779706596-3.52	s v	3.1802677779706596-3.243737705196306,3.243737705196306-3.29	aː	3.29-3.41	l	3.41-3.47	3.2-3.52	s v	3.2-3.28,3.28-3.29	aː	3.29-3.41	l	3.41-3.47
015024-0624624	samromur_unverified_22.07	svala	L1	Mynd af tildurmosa: Ingibjörg [_TOKEN_] Jónsdóttir.	Mynd af tildurmosa: Ingibjörg Svala Jónsdóttir.	4.091097444856393-4.64	s v	4.091097444856393-4.264340015943379,4.264340015943379-4.331797300260435	aː	4.331797300260435-4.48	l	4.48-4.59	4.11-4.64	s v	4.11-4.28,4.28-4.29	aː	4.29-4.48	l	4.48-4.59
022677-1568684	samromur_unverified_22.07	svala	L1	Þú stendur þig vel, [_TOKEN_]	Þú stendur þig vel, Svala!	1.85-2.23	s v	1.85-1.9763933818723225,1.9763933818723225-1.99	aː	1.99-2.07	l	2.07-2.15	1.85-2.23	s v	1.85-1.98,1.98-1.99	aː	1.99-2.07	l	2.07-2.15
007242-0067397	samromur_21.05	svala	L1	Bush forseti er orðinn blóðþyrstur og þeim þorsta verður að [_TOKEN_]	Bush forseti er orðinn blóðþyrstur og þeim þorsta verður að svala.	4.03-4.38	s v	4.03912269781744-4.117316303525415,4.117316303525415-4.14	aː	4.14-4.23	l	4.23-4.28436627935609	4.03-4.38	s v	4.03-4.13,4.13-4.14	aː	4.14-4.23	l	4.23-4.3
021830-1744662	samromur_unverified_22.07	svala	L1	hún átti að [_TOKEN_] náttúrulegri þekkingarþrá mannsins og breyta hugsunarhætti hans og menningu	hún átti að svala náttúrulegri þekkingarþrá mannsins og breyta hugsunarhætti hans og menningu	0.85-1.32	s v	0.85-0.9652547871591293,0.9652547871591293-0.98	aː	0.98-1.11	l	1.11-1.18	0.85-1.32	s v	0.85-0.97,0.97-0.98	aː	0.98-1.11	l	1.11-1.18
012154-0314356	samromur_unverified_22.07	svala	L1	hún átti að [_TOKEN_] náttúrulegri þekkingarþrá mannsins og breyta hugsunarhætti hans og menningu	hún átti að svala náttúrulegri þekkingarþrá mannsins og breyta hugsunarhætti hans og menningu	1.51-1.96	s v	1.52427908869601-1.6367214141330109,1.6367214141330109-1.67	aː	1.67-1.82	l	1.82-1.88	1.51-1.96	s v	1.51-1.66,1.66-1.67	aː	1.67-1.82	l	1.82-1.88
021579-1810548	samromur_unverified_22.07	svala	L1	[_TOKEN_]	Svala	0.31-0.8	s v	0.31-0.41387802053377404,0.41387802053377404-0.4875518484300381	aː	0.4875518484300381-0.61	l	0.61-0.71	0.31-0.8	s v	0.31-0.44,0.44-0.45	aː	0.45-0.61	l	0.61-0.71
013607-0579644	samromur_unverified_22.07	svala	L1	Mynd af tildurmosa: Ingibjörg [_TOKEN_] Jónsdóttir.	Mynd af tildurmosa: Ingibjörg Svala Jónsdóttir.	4.26-4.66	s v	4.26-4.35,4.35-4.376429635094649	aː	4.376429635094649-4.5	l	4.5-4.57	4.26-4.66	s v	4.26-4.35,4.35-4.36	aː	4.36-4.5	l	4.5-4.57
021790-1595412	samromur_unverified_22.07	baggi	L1	Vextir geta orðið þungur [_TOKEN_]	Vextir geta orðið þungur baggi	2.91-3.41	p	2.91-2.9671255641307646	a	2.9671255641307646-3.04	c	3.04-3.29	2.91-3.41	p	2.91-2.97	a	2.97-3.04	c	3.04-3.29
024752-1884203	samromur_unverified_22.07	baggi	L1	Sumum drekkt ef syndarinnar [_TOKEN_] reyndist of þungur fyrir miskunnsemd manna.	Sumum drekkt ef syndarinnar baggi reyndist of þungur fyrir miskunnsemd manna.	3.2-3.69	p	3.2-3.25	a	3.25-3.31	c	3.31-3.52	3.2-3.69	p	3.2-3.25	a	3.25-3.31	c	3.31-3.52
012817-0356291	samromur_unverified_22.07	baggi	L1	[_TOKEN_] og Hnútur,	Baggi og Hnútur,	1.01-1.65	p	1.01-1.07	a	1.07-1.18	c	1.18-1.44	1.01-1.65	p	1.01-1.07	a	1.07-1.18	c	1.18-1.44
025250-1920447	samromur_unverified_22.07	baggi	L1	Vextir geta orðið þungur [_TOKEN_]	Vextir geta orðið þungur baggi	2.57-3.0	p	2.57-2.62	a	2.62-2.8	c	2.8-2.88	2.57-3.0	p	2.57-2.62	a	2.62-2.8	c	2.8-2.88
012475-0326907	samromur_unverified_22.07	baggi	L1	[_TOKEN_] og Hnútur,	Baggi og Hnútur,	1.12-1.67	p	1.12-1.15	a	1.15-1.220209436305332	c	1.220209436305332-1.44	1.12-1.67	p	1.12-1.15	a	1.15-1.21	c	1.21-1.44
